DATE,Market_Liquidity_Index
2017-12-06,0.3740711830760317
2017-12-07,0.47431827251685227
2017-12-08,0.5860806761505305
2017-12-11,0.4085898824545948
2017-12-12,0.4332084867617645
2017-12-13,0.5355969117884107
2017-12-14,0.47529204411931075
2017-12-15,0.4809416820432195
2017-12-18,0.6380719221449661
2017-12-19,0.6276263804424594
2017-12-20,0.6288982054176114
2017-12-21,0.6666051654093088
2017-12-22,0.6519249968971984
2017-12-26,0.6216336034763763
2017-12-27,0.6506020378667483
2017-12-28,0.9814382065544176
2017-12-29,0.8190283205745267
2018-01-01,0.6652170716000957
2018-01-02,0.6990845585945865
2018-01-03,0.7496948843084412
2018-01-04,0.7892966530452424
2018-01-05,0.8155208819128478
2018-01-08,0.7580637270713662
2018-01-09,0.7791636064874553
2018-01-10,0.8511852322439963
2018-01-11,0.7277180408872009
2018-01-12,0.8000635960177721
2018-01-15,0.762598225287914
2018-01-16,0.5872168311723337
2018-01-17,0.6662759298558384
2018-01-18,0.7728332953341844
2018-01-19,0.601689565903917
2018-01-22,0.5808095508206813
2018-01-23,0.7725352017788942
2018-01-24,0.7935491731572537
2018-01-25,0.9592523438291974
2018-01-29,0.5737339671203953
2018-01-30,0.6111354147804566
2018-01-31,0.6566142765002084
2018-02-01,0.7580191855591916
2018-02-02,0.7786875516408438
2018-02-05,0.6118749430737704
2018-02-06,0.708751919101623
2018-02-07,0.5455361679459718
2018-02-08,0.5970454693268686
2018-02-09,0.5779231007923603
2018-02-12,0.6067487125014754
2018-02-14,0.627852773775113
2018-02-15,0.5645641288294527
2018-02-16,0.44261648395244685
2018-02-19,0.33222557139762476
2018-02-20,0.33444444297782144
2018-02-21,0.3759701445417427
2018-02-22,0.6590963853429592
2018-02-23,0.47515526353652215
2018-02-26,0.5941525225735129
2018-02-27,0.46862566598502864
2018-02-28,0.47053733860445124
2018-03-01,0.4626184668310978
2018-03-05,0.2899351564344837
2018-03-06,0.45328421905055144
2018-03-07,0.39016614122603566
2018-03-08,0.42710860543041207
2018-03-09,0.2577475959176291
2018-03-12,0.4385874065616331
2018-03-13,0.41605711648854776
2018-03-14,0.5121494147307057
2018-03-15,0.6067616510453852
2018-03-16,0.6509553804284971
2018-03-19,0.44635175718008396
2018-03-20,0.42371235659642065
2018-03-21,0.3983936849868286
2018-03-22,0.37547397201410737
2018-03-23,0.517685691874392
2018-03-26,0.5775661696978244
2018-03-27,0.5297427628882796
2018-03-28,0.7585253326883004
