DATE,Market_Liquidity_Index,NIFTY50_Liquidity_Index_Raw,NIFTY50_Liquidity_Index_30D,NIFTY50_Index
2023-05-10,0.9182436196147616,0.9454744732581234,0.8492598546153747,0.6837296164738563
2023-05-11,0.9477739467125392,0.9385881778893639,0.8555155081636051,0.6787497209562307
2023-05-12,0.8229328810494785,0.8412406835795286,0.8623505092387549,0.6083518764541049
2023-05-15,0.8471662077534761,0.7608689558035305,0.8642877180902675,0.5502302326002451
2023-05-16,0.9932731062192226,0.7665299916163446,0.863308154416849,0.5543240690332922
2023-05-17,0.928783171904128,0.6834805103717365,0.862995030171131,0.4942659801416356
2023-05-18,0.9711433501606134,0.6969080081929769,0.8621609430383051,0.5039762136753693
2023-05-19,0.9309142153194214,0.8110662304914766,0.8583717326167829,0.5865309094996966
2023-05-22,0.8177045625066935,0.8211339156003344,0.8606768560624009,0.5938114598190912
2023-05-23,0.8865465596736565,1.0249936506895867,0.8660972055825302,0.7412347297533002
2023-05-24,0.9118124602722316,0.898941173197858,0.862645561590574,0.6500785806147613
2023-05-25,0.9259020204936432,0.8808607604712057,0.8577977136938593,0.6370035436794086
2023-05-26,0.9584993590823504,0.7445852495408695,0.8506374113345908,0.5384545024746338
2023-05-29,0.9842434581346048,1.1221234101005593,0.8560534525739658,0.8114751170177076
2023-05-30,0.9085824347193284,1.0487546562377479,0.8787777998645755,0.7584177459742384
2023-05-31,1.4215281501418424,1.0077604233895565,0.885769242596822,0.7287723436966439
2023-06-01,0.9392433318487527,0.960427976184393,0.882999366630232,0.6945433963377234
2023-06-02,0.978826134624098,1.0290311017673115,0.8847451889230383,0.7441544541403499
2023-06-05,0.9718411184586772,1.1175484199146415,0.890330483507362,0.8081666656806663
2023-06-06,0.8919889509163722,1.029697148696153,0.8963730763808803,0.7446361128462069
2023-06-07,1.0610546548304132,1.0056569955204666,0.8953602855182056,0.7272512281394388
2023-06-08,1.0722027980577895,0.8155441697072567,0.8915149613615594,0.589769177426749
2023-06-09,0.8841960682848387,0.9317078370878746,0.8932899222953589,0.6737741315453388
2023-06-12,0.8396794589105667,1.0710724307788362,0.9069339475392517,0.7745570748076699
2023-06-13,1.065513204568341,1.0171415359912495,0.9049175115839441,0.7355563920265267
2023-06-14,1.0507067403831312,1.0824186642149751,0.9050623290039088,0.7827622205362276
2023-06-15,1.0244719007031524,0.9333848174423458,0.9142158587858692,0.6749868571841872
2023-06-16,1.1958453221650551,0.8446075793837089,0.9162357026276304,0.6107866818793288
2023-06-19,1.0263578163743354,0.8008429075630068,0.9195043706658418,0.5791378080858811
